"","instructor","state","institution","course","religion","christianden","nonrel","rel","raceoriginal","evound","micro","macro","human","evound1","evound2","evound3","evound4","evound5","evound6","evound7","evound8","evound9","evound10","evound11","evound12","evound13","evound14","micro1","micro2","micro3","micro4","micro5","micro6","micro7","micro8","macro1","macro2","macro3","macro4","macro5","macro6","macro7","macro8","human1","human2","human3","human4","human5","human6","human7","human8","rel1","rel2","rel3","rel4","africanamerican","racenative","raceasian","raceblack","racelatinx","raceislander","racewhite","raceother","racedecline","race","gender","religiosity"
"7051",6,12,12,29,2,1,NA,4.25,4,0.857142857142857,3.75,4.25,3.375,1,0,1,1,1,1,1,1,1,1,1,1,0,1,5,2,2,5,1,5,5,5,5,5,5,1,5,5,4,4,5,1,5,3,2,3,4,4,2,5,5,5,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,"high"
"7052",3,8,11,28,4,NA,NA,2.5,7,0.857142857142857,4.875,4.375,4.375,1,0,1,1,1,1,1,1,0,1,1,1,1,1,4,5,5,5,5,5,5,5,5,5,5,3,5,5,5,2,5,4,4,5,4,4,5,4,2,2,2,4,NA,NA,NA,NA,NA,NA,1,NA,NA,4,1,"moderate"
"7053",6,12,12,29,2,5,NA,3,7,0.642857142857143,4.375,4.5,4.5,0,0,1,1,1,1,1,1,0,1,1,0,1,0,5,4,4,2,5,5,5,5,5,5,5,3,5,5,5,3,5,3,5,5,4,4,5,5,1,4,3,4,NA,NA,NA,NA,NA,NA,1,NA,NA,4,1,"moderate"
"7054",42,9,8,64,2,1,NA,4.5,7,0.714285714285714,4.5,2.625,3.125,1,0,1,1,0,1,1,1,0,1,1,1,1,0,4,5,5,5,5,4,4,4,3,2,2,1,3,4,4,2,3,2,2,2,4,4,4,4,4,5,5,4,NA,NA,NA,NA,NA,NA,1,NA,NA,4,1,"high"
"7055",6,12,12,29,1,NA,NA,1.25,2,0.785714285714286,4.625,4.625,3.875,0,0,1,1,1,1,1,1,1,1,1,1,1,0,4,4,5,4,5,5,5,5,5,4,5,5,5,4,5,4,4,3,4,5,5,3,4,3,1,2,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2,2,"low"
"7056",5,12,13,33,2,1,NA,5,6,0.571428571428571,4,2,3.625,1,1,1,1,0,0,0,1,0,0,1,0,1,1,5,4,2,5,5,3,4,4,1,2,2,3,3,3,1,1,4,3,4,4,4,4,4,2,5,5,5,5,NA,NA,NA,1,1,NA,1,NA,NA,3,2,"high"
"7057",24,9,20,38,2,1,NA,4,7,0.857142857142857,3.875,3.875,4,1,0,1,1,1,1,1,1,1,1,1,1,0,1,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,1,NA,NA,4,1,"high"
"7058",4,1,14,71,6,NA,0,2.25,7,0.571428571428571,4.625,4.25,3.75,1,0,1,1,1,1,1,0,0,0,1,0,1,0,4,5,5,5,4,4,5,5,4,4,5,4,5,3,4,5,4,3,4,4,4,4,3,4,1,4,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA,4,1,"moderate"
"7059",23,4,23,40,5,NA,NA,4.25,2,0.5,3.875,3.125,2.375,1,0,1,1,0,1,1,0,0,1,1,0,0,0,4,4,4,4,4,4,4,3,4,3,3,3,4,3,2,3,2,2,3,1,3,3,2,3,4,5,4,4,NA,NA,1,NA,NA,NA,NA,1,NA,2,2,"high"
"7060",7,2,1,14,5,NA,NA,3.25,7,0.642857142857143,5,4,3.75,1,0,0,1,1,1,1,1,1,0,1,0,1,0,5,5,5,5,5,5,5,5,5,5,4,4,3,4,5,2,3,5,3,4,5,3,4,3,1,5,3,4,NA,NA,NA,NA,NA,NA,1,NA,NA,4,1,"moderate"
"7061",45,6,7,61,2,5,NA,5,7,0.642857142857143,3.625,2.5,2,0,0,1,1,0,1,1,1,0,1,1,1,1,0,3,4,4,4,4,4,2,4,3,3,3,1,3,3,3,1,1,2,3,1,2,3,1,3,5,5,5,5,NA,NA,NA,NA,NA,NA,1,NA,NA,4,1,"high"
